0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
5.066780394650841,9.661810869175744,-29.592848201053112,1.0176822403242423,0.6545772059871835,Audi,TT,S-Line,Coupe,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Black,Unknown,No,Ajman,Dealer,38000
5.185184729406907,9.718461834861241,-153.06175710982248,0.814568076453257,0.5947033781092275,Volkswagen,Touareg,Other,SUV,Petrol,Automatic Transmission,Unknown,Unknown,Blue,Beige,Yes,Dubai,Owner,55000
4.2984312709368355,9.716727975380639,44.782307931959,0.2931951737469292,1.2686753580175003,Land Rover,Range Rover,HSE,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Grey,Other Color,Yes,Dubai,Dealer,780000
5.041559348157863,9.743434655452935,-3.5733882343648142,0.6773744231366428,1.9726369512886441,Mitsubishi,Pajero,GLS,SUV,Petrol,Automatic Transmission,3500 - 3999 cc,100 - 199 HP,Silver,Black,No,Abu Dhabi,Dealer,35000
4.613341430694604,9.654477467624305,34.842401743670955,,0.5227822217547353,Toyota,Land Cruiser 70,Other,Utility Truck,Petrol,Manual Transmission,3500 - 3999 cc,200 - 299 HP,Beige,Brown,Yes,Dubai,Dealer,155000
4.630059758337062,,-70.52322281910682,0.534376848219617,0.18964017172694078,Nissan,Altima,SR,Sedan,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,Black,Black,Does not apply,Dubai,Dealer,42000
5.0334541637576,9.719094040728422,-47.18082040373006,0.3937714835434355,0.8144222899586067,Honda,CR-V,EX Plus,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,Burgundy,Beige,No,Dubai,Dealer,58000
5.312953753861037,9.718966009618171,-93.70900612624507,1.470801512262582,1.151407565902599,Toyota,Corolla,SE+,Sedan,Petrol,Automatic Transmission,Unknown,Unknown,White,Beige,Does not apply,Dubai,Owner,33000
4.995676745881448,9.754136933115515,-20.94360684709466,0.40127043784701244,1.209626331672918,Ford,Edge,Sport,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,300 - 399 HP,Blue,Black,No,Dubai,Dealer,75900
4.878669557644226,9.654651174630585,-39.56928273673279,0.40595877290561033,,MINI,Cooper,Cooper S,Coupe,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Yellow,Black,No,Dubai,Dealer,54000
5.451566867022988,9.747592431778795,,0.678679147373753,1.818856888960677,Infiniti,QX80,Luxury,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Brown,Beige,Does not apply,Dubai,Owner,72000
4.368917541405167,,,0.4083059414419631,0.8325645288805847,BMW,7-Series,735i,Sedan,Petrol,Automatic Transmission,2500 - 2999 cc,200 - 299 HP,Other Color,Unknown,Yes,Dubai,Dealership/Certified Pre-Owned,475000
4.765884404363762,9.754148472043445,-74.61965438422882,0.4806329113497593,0.9141217429522793,BMW,X5,Other,SUV,Hybrid,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,Silver,Black,No,Dubai,Dealer,166500
5.063792350514053,9.715999418638862,,1.6741619363744884,1.3383747540860307,Toyota,Corolla,Limited,Sedan,Petrol,Automatic Transmission,1000 - 1499 cc,100 - 199 HP,White,Beige,No,Abu Dhabi,Owner,29000
,,-52.599866244244865,0.5427172142254019,1.1564243808978316,Land Rover,Range Rover Evoque,Other,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,White,Black,No,Dubai,Dealer,176900
4.503212097992874,9.733975900592043,-27.514139882617396,0.6297703377304685,1.3192590047093034,Hyundai,Sonata,SE,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Grey,Beige,Does not apply,Dubai,Owner,55000
4.664571073387706,9.669767079491555,-72.69292736469484,,1.0158021228190381,Ford,Mustang,Ecoboost,Sports Car,Petrol,Automatic Transmission,2000 - 2499 cc,300 - 399 HP,Silver,Black,No,Dubai,Owner,68000
